900905,42.63,976,320,16896
900921,39.02,940,424,16868
900937,43.48,860,364,16816
900953,43.48,3164,144,16432
900969,43.41,7112,1212,17296
900985,43.36,4940,1172,16668
901001,42.69,7124,2744,18028
901017,41.91,13884,-6648,9992
901033,41.31,29880,436,14744
901049,40.29,19424,-696,16800
901065,39.44,1800,1708,16704
901081,34.04,-1592,644,17624
901097,37.83,448,-28,15972
901113,36.99,1000,1340,15448
901129,35.31,2332,1352,18872
901145,34.11,528,932,17780
901161,32.84,-716,592,16840
901177,31.66,1800,152,14688
901193,31.23,5640,-540,14116
901209,29.12,212,-304,16932
901225,27.92,-1696,-556,17052
901241,27.56,-116,-196,16312
901256,26.00,300,180,16984
901271,24.92,1016,960,16036
901286,23.36,2184,1120,17864
901301,21.87,1544,1084,17412
901316,20.84,752,896,17904
901331,19.71,236,668,17112
901346,18.20,840,540,16464
901361,17.96,-712,-140,19056
901376,16.94,-1608,704,15436
901391,15.45,720,388,16564
901406,14.42,108,40,18564
901421,13.41,564,356,17520
901436,12.38,916,752,16772
901451,10.94,512,692,16832
901466,10.82,724,744,16020
901480,8.97,1004,448,16504
901494,8.42,1468,684,16224
901508,7.10,1456,344,16316
901522,6.14,3076,1940,13600
901536,5.66,684,508,17280
901550,4.34,-312,36,17388
901564,4.34,1496,84,14440
901578,4.82,1500,688,15804
901592,4.58,-32768,-8908,12772
901606,5.06,-29780,56,21996
901620,3.69,-2092,1604,15096
901634,4.05,32767,-3184,32767
901648,3.50,1164,-7868,17640
901662,4.29,2468,-4196,-160
901676,4.17,4056,1720,24460
901690,4.82,-4004,3004,23992
901704,4.22,4680,2308,11564
901718,4.46,3256,3868,16496
901732,4.65,1576,2200,15680
901746,4.89,1076,1624,21584
901760,5.13,-312,1300,16796
901774,5.37,2060,308,16416
901788,6.02,1620,-2060,15980
901802,5.78,4572,-1172,15072
901816,6.38,2376,-1504,17956
901830,6.09,1356,-560,16512
901844,6.21,2320,32,18076
901858,6.33,212,1028,16496
901872,6.93,920,984,15852
901886,7.05,-3204,1192,20940
901900,7.17,-304,1916,16100
901914,7.27,728,1752,16660
901928,7.00,1304,1492,16856
901942,7.05,896,1060,16972
901956,7.17,748,556,17336
901970,7.75,1280,-748,16748
901984,7.41,3100,-2492,14312
901998,7.94,2948,-1372,16376
902012,7.53,2156,-652,16184
902026,7.53,2052,-72,17036
902040,8.01,660,296,17540
902054,7.58,552,1004,16796
902068,8.06,1072,980,16768
902082,8.06,928,1360,16904
902096,8.13,980,1072,16948
902110,8.13,728,1400,17312
902124,8.13,1448,1076,16332
902138,7.70,896,1148,17620
902152,7.77,1228,632,16324
902166,8.18,1284,620,19120
902180,7.77,1668,-488,16596
902194,7.77,2176,-720,16848
902208,8.66,924,-496,16900
902222,8.18,1124,112,16644
902236,7.77,924,276,16768
902250,8.18,784,444,17544
902264,8.18,656,884,16688
902278,7.77,1224,820,16836
902292,8.18,808,1084,17096
902306,8.18,920,824,16772
902320,8.18,888,828,17268
902334,8.18,1240,768,16580
902348,7.70,572,688,18188
902362,8.18,776,264,15956
902376,8.18,864,-604,17524
902390,8.13,984,-20,17036
902404,7.70,1132,216,16816
902418,8.11,1044,516,16856
902432,8.13,860,356,17156
902446,8.13,776,536,16944
902460,8.61,1088,712,16668
902474,8.13,888,736,17168
902488,8.13,824,648,16588
902502,8.13,1072,648,17032
902516,7.70,1068,416,16784
902530,8.11,652,-168,17200
902544,8.13,568,-24,16552
902558,8.13,1132,184,16844
902572,8.13,1120,348,16996
902586,8.13,904,468,16916
902600,8.11,900,408,17104
902614,7.70,900,464,16820
902628,8.13,908,496,16948
902642,8.13,888,504,16868
902656,8.13,880,476,16852
902670,8.13,876,428,16940
902684,8.11,868,332,16896
902698,8.13,908,316,16872
902712,8.13,980,316,16792
902726,8.13,1000,308,17032
902740,8.13,932,328,16796
902754,7.70,936,368,16984
902768,8.13,904,380,16828
902782,8.13,1000,476,17072
902796,8.13,900,480,16872
902810,8.13,964,316,16936
902824,8.11,900,416,16804
902838,8.13,1004,360,16872
902852,8.11,1032,352,16900
902866,8.11,992,344,16764
902880,8.11,916,288,16960
902894,8.13,848,320,16804
902908,8.13,888,292,16916
902922,8.11,944,360,16640
902936,8.11,972,436,16984
902950,8.13,876,464,16912
902964,8.11,860,452,16936
902978,8.13,968,460,16924
902992,8.11,996,432,16916
903006,7.70,984,508,16832
903020,8.11,876,488,16960
903034,7.70,900,404,16976
903048,8.11,908,344,16812
903062,8.13,984,352,16872
903076,8.13,980,320,16844
903090,8.11,864,316,16948
903104,8.13,1024,396,16740
903118,8.13,880,268,16856
903132,8.13,956,368,16816
903146,8.13,900,488,16744
903160,8.13,948,416,16996
903174,8.13,892,456,16860
903188,8.13,920,416,16908
903202,7.70,960,444,16796
