685350,42.93,872,364,16852
685366,41.61,896,592,16968
685382,42.45,916,416,16792
685398,42.88,844,356,16876
685414,39.32,844,228,16900
685430,43.29,868,312,16892
685446,42.86,908,576,16924
685462,42.51,784,512,16852
685478,43.34,844,300,16744
685494,42.86,680,448,16844
685510,42.93,940,584,16856
685526,42.93,860,656,16796
685542,43.36,1120,588,16852
685558,43.77,852,332,16840
685574,42.45,872,356,16900
685590,42.88,832,236,16908
685606,42.86,892,556,16876
685622,43.36,828,296,16756
685638,42.88,856,408,16948
685654,43.36,824,304,16800
685670,43.78,908,416,16940
685686,43.36,832,576,16808
685702,42.51,904,532,16904
685718,42.45,772,452,16856
685734,42.09,872,356,16996
685750,42.88,816,508,16820
685766,42.86,956,592,16896
685782,41.97,872,404,16828
685798,43.30,852,240,16836
685814,43.36,920,284,16816
685830,42.88,932,412,16900
685846,42.88,1892,324,16644
685862,42.45,3332,-48,16384
685878,42.45,8032,200,16352
685894,42.22,14320,3652,18668
685910,39.08,32767,1928,21528
685926,41.79,23524,-3916,22636
685942,40.53,13432,548,15520
685958,36.92,-3656,-2124,13556
685974,37.23,2268,-1104,13408
685990,35.79,2956,332,18292
686006,34.88,1908,1292,17640
686022,33.03,16,1232,17080
686038,33.32,-576,452,14500
686054,31.52,836,1016,17128
686070,28.76,3052,1460,17064
686086,28.23,860,1060,18616
686101,26.43,-100,820,16332
686116,25.04,-2344,-160,14444
686131,23.36,-2364,-1460,15476
686146,22.11,-1316,-972,16620
686161,21.27,1280,-8,16832
686176,20.01,1636,684,18772
686191,18.81,956,1056,17112
686206,17.12,496,1016,17696
686221,15.86,172,728,16144
686236,14.18,148,300,15916
686251,12.98,692,656,16032
686266,12.21,1848,1040,16708
686281,10.53,1804,544,18388
686295,9.69,328,500,17024
686309,8.61,80,216,16468
686323,7.05,-120,-104,17924
686337,5.97,-2168,1336,17788
686351,4.89,-1684,680,18252
686365,4.70,-2636,32,17732
686379,4.17,-2484,1216,14944
686393,4.94,-8536,24,19552
686407,5.13,-32768,5784,13600
686421,5.13,-1224,-1812,32767
686435,5.66,-4448,6080,21248
686449,4.22,10708,-924,32767
686463,5.95,-2116,1104,8676
686477,4.96,4048,-1324,5860
686491,4.70,4008,176,21072
