1180896,42.88,960,440,16972
1180912,41.55,680,180,16872
1180928,41.97,788,388,16960
1180944,42.88,756,204,16904
1180960,43.29,724,412,16940
1180976,41.55,728,524,16880
1180992,42.03,692,568,16948
1181008,40.11,784,444,16836
1181024,43.29,828,368,16896
1181040,42.39,736,540,16924
1181056,42.45,768,568,16908
1181072,43.29,852,360,16828
1181088,42.88,716,260,16996
1181104,42.88,704,336,16940
1181120,42.88,660,328,16912
1181136,42.45,840,580,16940
1181152,42.93,732,448,16876
1181168,42.88,880,288,16908
1181184,42.45,620,388,16852
1181200,43.36,872,696,16976
1181216,42.93,924,516,16912
1181232,43.36,836,444,16840
1181248,43.29,828,348,16848
1181264,42.93,700,412,16944
1181280,42.51,812,476,16984
1181296,42.88,420,788,16896
1181312,42.93,940,1240,16812
1181328,42.45,18348,4580,19260
1181344,42.15,16040,-468,17988
1181360,41.37,24484,-5468,15788
1181376,41.01,26924,1084,10760
1181392,39.75,13244,2956,13336
1181408,38.72,-952,-508,20864
1181424,37.28,-692,700,13468
1181440,35.84,3200,928,19984
1181456,34.42,2532,1536,17004
1181472,32.98,-3176,-2584,20664
1181488,31.11,-1932,-2448,13372
1181504,31.06,-724,232,16844
1181520,29.67,1776,292,16440
1181536,27.41,460,228,17800
1181551,26.07,-48,448,17312
1181566,25.23,-424,588,16408
1181581,23.96,476,656,15912
1181596,22.71,724,592,15472
1181611,21.03,1504,880,16840
1181626,19.35,1964,916,18140
1181641,18.08,1580,908,17496
1181656,17.66,-2772,-1088,19424
1181671,15.62,1380,-132,13988
1181686,14.78,-2340,-876,15696
1181701,13.17,-640,-180,15772
1181716,11.97,988,508,17512
1181731,11.25,1760,640,17520
1181745,10.10,1952,1120,17564
1181759,8.54,1148,1108,18128
1181773,8.37,596,816,17724
1181787,5.90,452,880,17644
1181801,5.73,760,808,17116
1181815,5.54,292,608,16488
1181829,4.53,-9680,8,17628
1181843,3.74,-32768,-3232,23108
1181857,4.10,-32768,1972,17136
1181871,5.85,-4968,1104,15192
1181885,4.65,4912,-448,14712
1181899,5.13,-4464,-2672,16640
1181913,4.77,3928,-8,19240
1181927,5.35,1648,1508,18020
1181941,5.01,1152,236,17132
1181955,5.97,92,1104,18724
1181969,6.93,2216,1756,16880
1181983,7.10,504,1708,17832
1181997,7.17,464,1216,17088
1182011,8.13,-220,88,16560
1182025,9.14,788,744,16400
1182039,9.26,2564,100,15688
1182053,9.74,2780,-1560,17464
1182068,10.70,1268,-212,17924
1182083,11.66,3116,92,14760
1182098,11.78,2588,-160,17364
1182113,11.85,1216,180,17332
1182128,12.33,556,480,17340
1182143,13.24,524,876,16884
1182158,13.77,1036,1140,17200
1182173,14.25,460,924,17236
1182188,14.37,1132,836,16984
1182203,15.26,1016,876,17024
1182218,15.76,1220,936,17604
1182233,16.22,528,584,17884
1182248,16.77,1804,544,15204
1182263,17.24,1976,-344,15984
1182278,17.32,2336,-328,16944
1182293,18.16,1980,-360,16092
1182308,19.05,1560,412,17328
1182323,18.62,764,336,17076
1182338,19.05,1400,684,16464
1182353,19.47,836,812,16440
1182368,20.37,520,820,17204
1182383,21.20,892,824,16792
1182398,21.21,1232,1012,17216
1182413,21.63,1016,688,17192
1182428,22.47,1028,568,17608
1182443,22.05,1176,64,17080
1182458,23.38,1428,-528,16700
1182473,23.38,2092,-528,16072
1182488,23.74,1712,-448,16604
1182503,24.10,1824,-196,16776
1182518,24.51,1164,276,17176
1182533,23.60,1296,720,16768
1182548,25.71,1044,848,17276
1182563,25.64,936,820,16660
1182578,26.43,520,852,17692
1182593,26.86,892,824,16884
1182608,27.22,1640,876,16668
1182623,26.67,1500,244,17100
1182639,27.94,1200,256,16464
1182655,27.87,1828,-252,16252
1182671,29.12,2036,-348,16536
1182687,29.07,1788,28,16840
1182703,29.84,1516,316,16596
1182719,29.79,936,632,17288
1182735,30.10,916,748,16976
1182751,29.96,1036,804,17140
1182767,30.32,1072,764,17080
1182783,31.59,1068,764,16792
1182799,31.47,664,936,17576
1182815,31.76,1276,524,16216
1182831,32.55,1504,440,16796
1182847,32.00,1628,-200,16512
1182863,31.83,1424,-272,16712
